"Document Information","author","Reema Gupta","date","","repository","","version","1.0"
"Path to Section","Property Name","Value","odML Data Type","","","","",""
"/eye-tracking","free-text-field","","","","","","",""
"/eye-tracking/acquisiton-system-element","institutionAddress","","","","","","",""
"","institutionName","","","","","","",""
"","manufacturer","","","","","","",""
"","manufacturerModelName","","","","","","",""
"","manufacturerModelVersion","","","","","","",""
"","powerLineFrequency","","","","","","",""
"","recordingSetupCustomName","","","","","","",""
"","samplingFrequency","","","","","","",""
"","serialNumbers","","","","","","",""
"","softwareVersions","","","","","","",""
"","systemCreator","","","","","","",""
"","systemMaintainer","","","","","","",""
"","usesSoftwareSuite","","","","","","",""
"/eye-tracking/eye-tracking-element","averageCalibrationError","","","","","","",""
"","calibrationComment","","","","","","",""
"","calibrationErrorUnit","","","","","","",""
"","calibrationPosition","","","","","","",""
"","calibrationType","","","","","","",""
"","calibrationUnit","","","","","","",""
"","eyeCameraSettings","","","","","","",""
"","eyeDataEnvironmentCoordinates","","","","","","",""
"","eyeDataSampleCoordinateSystem","","","","","","",""
"","eyeDataSampleCoordinateUnit","","","","","","",""
"","eyeDataSamplingFrequency","","","","","","",""
"","featureDetectionSettings","","","","","","",""
"","gazeMappingSettings","","","","","","",""
"","maximalCalibrationError","","","","","","",""
"","pupilFitMethod","","","","","","",""
"","rawDataFilters","","","","","","",""
"","recordedEye","","","","","","",""
"","screenAOIDefinition","","","","","","",""
"","screenDistance","","","","","","",""
"","screenRefreshRate","","","","","","",""
"","screenResolutionHeight","","","","","","",""
"","screenResolutionWidth","","","","","","",""
"","screenSizeHeight","","","","","","",""
"","screenSizeWidth","","","","","","",""
"/eye-tracking/eye-tracking-header","eye-tracking-header","","","","","","",""
"/eye-tracking/in2pb-header","in2pb-header","","","","","","",""
